0	0000 - 0F6B
1	0F6C - 196C
2	196D - 2265
3	2266 - 2BCF
4	2BD0 - 36AF
5	36B0 - 4231
6	4232 - 4A3F
7	4A40 - 53F9
8	53FA - 5A0F
9	5A10 - 6765
10	6766 - 732A
11	732B - 837D
12	837E - 909C
13	909D - A3E7
14	A3E8 - B5D9
15	B5DA - C416
16	C417 - D80C
17	D80D - F08D
18	F08E - 1034B
19	1034C - 118D7
20	118D8 - 12B84
30	12B85 - 13643
40	14644 - 1436E
50	1436F - 14E34
60	14E35 - 15A07
70	15A08 - 1689E
80 	1689F - 1746E
90	1746F - 185C9
CENTS		185CA - 191C9
CHANGE		191CA - 19F1D
DOLLARS		19F1E - 1ACBE
HUNDRED		1ACBF - 1B9C3
ITEM		1B9C4 - 1C3A0
MILLION		1C3A1 - 1D39B
NEXT		1D39C - 1DCE3
PAID		1DCE4 - IE837
QTY			1E838 - 1F5EE
THANKYOU	1F5EF - 201AA
THOUSAND	201AB - 21590
TOTAL		21591 - 21D62
WELCOME		21D63 - 22947
